Name	Set	ImageFile	Number	Pack	Type	Sphere	Unique	Traits	Cost	Willpower	Attack	Defense	Health	Encounter Set	Threat	Engagement Cost	Quest Points	Victory Points	OCTGN ID	Setup	Quantity	Text	Shadow
Fate of The Dream-chaser	CoC	CoC0148A,CoC0148B	148	The City of Corsairs	Quest									Coast of Umbar					19675b16-16ee-4477-a753-bd1cf7b51b7a			When Revealed: Each player assigns damage among non-Ship characters he controls equal to the total damage on each Ship objective he controls. Discard all Ship enemies, Ship objectives, and Ocean locations in play.	
The Haven of Umbar	CoC	CoC0149A,CoC0149B	149	The City of Corsairs	Quest									The City of Corsairs					58d90f80-eb1a-46d9-a5c1-2e7b8c5b8451			When Revealed: Search the encounter deck for The Shattered Monument and Captain Sahír, and set them aside, out of play. Each player searches the encounter deck for 1 enemy and 1 location, and adds them to the staging area. If the Stormcaller was not destroyed during stage 1, add 1 resource to each Raider enemy in play.	
Final Confrontation	CoC	CoC0150A,CoC0150B	150	The City of Corsairs	Quest									The City of Corsairs					7b8369b4-cca1-4076-8985-1c7be238ccb0			When Revealed: Add The Shattered Monument to the staging area. Put Captain Sahír into play, engaged with the first player. Each player searches the encounter deck and discard pile for an enemy and adds it to the staging area. Shuffle the encounter deck. Add 1 resource to each Raider enemy in play.	
Stormcaller	CoC	CoC0151	151	The City of Corsairs	Enemy		‰	Corsair. Ship.			6	6	16	Coast of Umbar	2	20		10	c45dc401-bb07-42ec-ba4c-ee9105a3f349			Boarding 1. Cannot have attachments.Forced: At the end of the round, if the Stormcaller is engaged with a player, either return it to the staging area or shift your heading off-course.	
Slave Ship	CoC	CoC0152	152	The City of Corsairs	Enemy			Corsair. Ship.			7	5	5	Coast of Umbar	3	32			0f7ce386-9510-4fd5-93aa-145190f8d1de			Boarding 1. Cannot have attachments.For each point of damage that is dealt to a Ship objective by Slave Ship’s attack, deal 1 point of damage to a non-Ship character controlled by the defending player, as well.	
Umbar Slaver	CoC	CoC0153	153	The City of Corsairs	Enemy			Corsair. Raider.			2	3	5	Coast of Umbar	2	28			2fd16de8-3286-4003-9978-574738b2a337			Umbar Slaver gets +1 Û and +1 $ for each resource on it.Forced: After the engaged player spends any number of resources, place 1 of those resources on Umbar Slaver.	
Southern Belfalas	CoC	CoC0154	154	The City of Corsairs	Location			Ocean. Coastland.						Coast of Umbar	3		5		797a1805-f347-4eb3-9f77-5c9e6b6a850f			Travel: One player must reveal the top card of the Corsair deck and engage it to travel here.Shadow Text:Shadow: If this attack destroys a character, discard an ally controlled by the defending player.󲂐	
Corsair Waters	CoC	CoC0155	155	The City of Corsairs	Location			Ocean. Coastland.						Coast of Umbar	4		3		a3173fc4-1ddb-470d-ae12-a35e24ea63a3			While Corsair Waters is the active location, no more than 1 ally can enter play each round.Shadow Text:Shadow: Either shift your heading off-course, or treat this attack as undefended.󲂐	
Watch Tower	CoC	CoC0156	156	The City of Corsairs	Location			Umbar. Coastland.						Coast of Umbar	2		3		04f24d17-9764-4385-b22c-0e45f6fa5654			While Watch Tower is in the staging area, it gains: “Forced: When a Raider enemy enters play, add 1 resource to it.”	Shadow: If this attack destroys a ally, add resources to a Raider enemy in play equal to that character’s printed resource cost.
Serpents Tail	CoC	CoC0157	157	The City of Corsairs	Treachery									Coast of Umbar					86e8724b-32cb-4d63-b918-5754d39d2249			When Revealed: Deal 1 shadow card to each Ship enemy in play. Then, if you are off-course (¼, ½, or ¾), each Ship enemy in play gets –10 engagement cost until the end of the round.	
Captain Sahir	CoC	CoC0158	158	The City of Corsairs	Enemy		‰	Corsair. Raider. Corrupt.			6	2	8	The City of Corsairs	6	4			c354e410-e15a-4999-bb14-696b5e89cee9			Captain Sahír engages the first player.For each point of damage Captain Sahír would take, discard 1 resource from him and cancel that damage.For every 5 resources on Captain Sahír, he makes an additional attack against the engaged player each combat phase.	
The Shattered Monument	CoC	CoC0159	159	The City of Corsairs	Location		‰	Umbar.						The City of Corsairs	4		8	5	f811f153-81f4-4688-8b4d-400215e6748a			Each Raider enemy with at least 1 resource on it is immune to player events.Forced: At the beginning of the resource phase, add 1 resource to each Raider enemy in play.	
City of Corsairs	CoC	CoC0160	160	The City of Corsairs	Location			Umbar. City.						The City of Corsairs	0		4		06badf71-8e85-479e-8ddf-1dec7a40e325			X is the highest number of resources on a Raider enemy in play.Travel: Search the encounter deck and discard pile for a Corsair enemy and add it to the staging area. Shuffle the encounter deck.	
Streets of Umbar	CoC	CoC0160	160	The City of Corsairs	Location			Umbar. City.						The City of Corsairs	1		5		dd394c76-c2b9-4b1c-8948-a056de97b779			When faced with the option to travel, if Streets of Umbar is in the staging area, the players must either travel to a location named Streets of Umbar or add 2 resources to a Raider enemy in play.	Shadow: If attacking enemy is a Raider, deal it an additional shadow card for each resource token on it, to a maximum of 3 additional shadow cards.
Umbar Harbor	CoC	CoC0161	161	The City of Corsairs	Location			Umbar. City.						The City of Corsairs	4		4		5c0a0aea-af43-441b-9d7f-86a1dfd09f00			While Umbar Harbor is the active location, Corsair enemies get +2 Ú.	Shadow: If attacking enemy is a Raider, move 1 resource from a hero you control to attacking enemy.
Foes of Ecthelion	CoC	CoC0163	163	The City of Corsairs	Treachery									The City of Corsairs					720b2482-f69c-4a88-8352-721d854704d2			When Revealed: Add 2 resources to a Raider enemy in the staging area. Each Raider enemy in the staging area gets +1 $ for each resource on it until the end of the phase. If there are no Raider enemies in the staging area, Foes of Ecthelion gains surge.	
Umbar Patrol	CoC	CoC0164	164	The City of Corsairs	Treachery									The City of Corsairs					7f0e7969-bca4-48a3-99b5-ba055bd376af			When Revealed: Each player returns an enemy engaged with him to the staging area. Until the end of the round, enemies cannot be optionally engaged. If there are no enemies in the staging area, search the encounter deck and discard pile for an enemy and add it to the staging area.	
Fury and Malice	CoC	CoC0165	165	The City of Corsairs	Treachery									The City of Corsairs					b4769083-91fb-4e9c-9736-17e8c28ff971			When Revealed: Add 1 resource to each engaged Raider enemy. Then, each player assigns damage among characters he controls equal to the number of resource tokens on Raider enemies engaged with him. If no damage is assigned by this effect, Fury and Malice gains surge.	
The City of Corsairs	CoC	CoC0999	999	The City of Corsairs	Rules									The City of Corsairs					18237a67-26d2-4863-bde7-5ac45b498de2				
The Dunland Trap	TDTN	TDTN0001	1	Ringmaker - Nightmare	Nightmare									The Dunland Trap - Nightmare		A			b42cd34e-7eb6-4163-8ef6-4a2f66f45439			Begin with the standard quest deck and encounter deck for The Dunland Trap scenario.Remove the following cards, in the specified quantities, from the encounter deck:4x Boar Clan Warrior4x Hithaeglir Stream1x Dunlending Ambush1x Frenzied Attack1x Low on ProvisionsThen, shuffle the encounter cards in this Nightmare Deck into the remainder of the standard The Dunland Trap encounter deck.Finally, flip this setup card over and place it next to the quest deck. Its effect remains active through the game, which is now ready to begin.	The Dunland Trap
Boar Clan Ambusher	TDTN	TDTN0002	2	Ringmaker - Nightmare	Enemy			Dunland. Boar Clan.			5	2	5	The Dunland Trap - Nightmare	3	30			f5f06bf8-82ae-437f-95e9-1d67312a78f2			Forced: After Boar Clan Ambusher attacks and destroys a character, discard a random card from your hand.	If this attack destroys a character, discard a random card from your hand.
Boar Clan Skirmisher	TDTN	TDTN0003	3	Ringmaker - Nightmare	Enemy			Dunland. Boar Clan.			3	2	4	The Dunland Trap - Nightmare	2	20			354f9e8d-aa47-4493-a697-b59f0bd178ea			Forced: After the engaged player draws any number of cards, he deals 1 damage to a hero he controls.	Deal 1 damage to a hero you control (2 damage instead if undefended).
Plains of Dunland	TDTN	TDTN0004	4	Ringmaker - Nightmare	Location			Enedwaith. Plains.						The Dunland Trap - Nightmare	4		5		efb4a7ca-6892-43e8-9de4-ab8d2ffc7cdc			While Plains of Dunland is in the staging area, each Dunland enemy gets -20 engagement cost and cannot be optionally engaged.Travel: The first player engages the highest Û enemy in the staging area to travel here.	
Munuv Duv River	TDTN	TDTN0005	5	Ringmaker - Nightmare	Location			Enedwaith. Hills. River.						The Dunland Trap - Nightmare	2		3		f2f7e1d5-9be6-4a8a-bb46-50ae4da2cb16			While Munuv Dûv River is in the staging area, it gains: "Forced: After a player draws any number of cards, he deals 1 shadow card to an enemy engaged with him."	Raise your threat by 1 for each enemy engaged with you.
Hithaeglir Woods	TDTN	TDTN0006	6	Ringmaker - Nightmare	Location			Enedwaith. Forest. Hills.						The Dunland Trap - Nightmare	3		4		ffbf96c9-ee9f-4462-b1c5-1acf8609015a			While Hithaeglir Woods is in the staging area, each Dunland enemy in the staging area cannot take damage. Travel: Deal each Dunland enemy a shadow card to travel here.	
Boar Clan Assault	TDTN	TDTN0007	7	Ringmaker - Nightmare	Treachery									The Dunland Trap - Nightmare					fea90493-29cd-4668-9e3b-eb3150cdc339			When Revealed: Each engaged enemy makes an immediate attack. If no attacks are made this way, Boar Clan Assault gains surge.	Each enemy engaged with you gets +1 Û until the end of the phase.
Stalked by Dunlendings	TDTN	TDTN0008	8	Ringmaker - Nightmare	Treachery									The Dunland Trap - Nightmare					81907a30-abb2-44de-b3be-eb44e43977d8			When Revealed: Each player draws 1 card. Until the end of the round, add X $ to the total $ in the staging area. X is the number of cards in the first player's hand.	Put the topmost enemy in the discard pile into play engaged with you and deal it a shadow card.
The Three Trials	TTTN	TTTN0001	1	Ringmaker - Nightmare	Nightmare									The Three Trials - Nightmare		A			f096ca9b-c50e-4897-b0c6-216c9c520bee			Begin with the standard quest deck and encounter deck for The Three Trials scenario.Remove the following cards, in the specified quantities, from the encounter deck:3x Spirit of the Wild3x Grim Foothills1x Tangled Woods3x Turned AroundThen, shuffle the encounter cards in this Nightmare Deck into the remainder of the standard The Three Trials encounter deck.Finally, flip this setup card over and place it next to the quest deck. Its effect remains active through the game, which is now ready to begin.	
Wolf Spirit	TTTN	TTTN0002	2	Ringmaker - Nightmare	Enemy			Undead. Spirit. Wolf.			5	1	6	The Three Trials - Nightmare	2	30			b644346d-3791-41f4-9d8a-0fd281e36b8b			If Wolf's Guardian is in play or in the victory display, each Wolf enemy gets +1 Û.Forced" At the beginning of the encounter phase, Wolf Spirit engages the player who controls Key of the Wolf or is engaged with Wolf's Gaurdian, if able.	
Boar Spirit	TTTN	TTTN0003	3	Ringmaker - Nightmare	Enemy			Undead. Spirit. Boar.			4	2	5	The Three Trials - Nightmare	1	20			bc629269-aa5b-4f5c-b071-c1413f85d24c			If Boar's Guardian is in play or in the victory display, each Boar enemy gets +1 Ù.Forced: At the beginning of the encounter phase, Boar Spirit engages the player who controls Key of the Boar or is engaged with Boar's Guardian, if able.	
Raven Spirit	TTTN	TTTN0004	4	Ringmaker - Nightmare	Enemy			Undead. Spirit. Raven.			3	3	4	The Three Trials - Nightmare	3	40			c8a7cd39-10e0-4d50-a75b-e8a7ac24e32f			If Raven's Guardian is in play or in the victory display, each Raven enemy gets +1 $.Forced: At the beginning of the encounter phase, Raven Spirit engages the player who controls Key of the Raven or is engaged with Raven's Guardian, if able.	
Sacred Forest	TTTN	TTTN0005	5	Ringmaker - Nightmare	Location			Forest.						The Three Trials - Nightmare	3		5		f1dda3f9-e4cc-4c36-8167-a31dfdce2637			While Sacred Forest is in the staging area, each Guardian enemy gains: "Forced: After any number of time counters are removed from this enemy, heal 2 damage on it for each time counter removed."Travel: Remove each time counter from an enemy in play to travel here.	
Haunted Pillars	TTTN	TTTN0006	6	Ringmaker - Nightmare	Location			Forest. Hills.						The Three Trials - Nightmare	2		3		4008f69c-fda2-4fe4-a8bd-373d38203c87			When faced with the option to travek, players must travel to Haunted Pillars, if able.When Revealed: Either return the active location to the staging area, or Haunted Pillars gains surge.	
Cursed Burden	TTTN	TTTN0007	7	Ringmaker - Nightmare	Treachery									The Three Trials - Nightmare					a142205c-6aa0-4fed-be81-312c2dd33673			When Revealed: Attach to a hero with a Key objective attached, if able. (Counts as a Condition attachment with the text: "Limit 1 per hero. Attached hero cannot commit to the quest, and cannot attack or defend against enemies with a Trait shared by any of that hero's attached Key objectives.")	
Trial of Ancestors	TTTN	TTTN0008	8	Ringmaker - Nightmare	Treachery									The Three Trials - Nightmare					4aacc507-dfaf-4193-98c5-09dbf879423d			When Revealed: Attach to the current quest. (Counts as a Condition attachment with the text: Each non-unique character gets -1 Ò and cannot attack enemies that share a Trait with the current trial's key objective.")	
Trouble in Tharbad	TiTN	TiTN0001	1	Ringmaker - Nightmare	Nightmare									Trouble in Tharbad - Nightmare		A			9fb6747a-1dd1-4a38-8c55-9459fda296c1			Begin with the standard quest deck and encounter deck for the Trouble in Tharbad scenario.Remove the following cards, in the specified quantities, from the encounter deck:1x Orc Hunter2x Orc Skirmisher2x Tharbad Hideout2x Hidden Alleyway1x Decrepit Rooftops2x Orc Hunting PartyThen, shuffle the encounter cards in this Nightmare Deck into the remainder of the standard Trouble in Tharbad encounter deck.Finally, flip this setup card over and place it next to the quest deck. Its effect remains active through the game, which is now ready to begin.Playing Tip: There are many effects in the nightmare version of Trouble in Tharbad that reduce the players' threat elimination level. It may be helpful to use a separate threat tracker or pen and paper to track the players' current threat elimination level.	
Bellachs Hunter	TiTN	TiTN0002	2	Ringmaker - Nightmare	Enemy			Orc. Spy.			6	4	6	Trouble in Tharbad - Nightmare	3	50			2bc9f441-e922-4509-aef9-a27e485ed227			While a player controls 5 or more allies, Bellach's Hunter gets –20 engagement cost.Forced: When Bellach's Hunter engages a player, that player must either remove all time counters from the current quest or deal 5 damage to a hero he controls.	
Orc Seeker	TiTN	TiTN0003	3	Ringmaker - Nightmare	Enemy			Orc.			4	3	4	Trouble in Tharbad - Nightmare	2	20			715a7c96-17de-4e8d-8771-a8ae0e36e732			When Revealed: Either reduce each player's threat elimination level by 2, or Orc Seeker engages the first player and makes an immediate attack.	Reduce each player's threat elimination level by 2 (5 instead if undefended).
Blood Hound	TiTN	TiTN0004	4	Ringmaker - Nightmare	Enemy			Creature.			2	2	3	Trouble in Tharbad - Nightmare	2	0			fa961100-1d40-4614-b405-faf9c00e2a83			Forced: When Blood Hound engages you, raise your threat by 5.	Either raise your threat by 10, or attacking enemy makes an additional attack against you after this one. 
City of Spies	TiTN	TiTN0005	5	Ringmaker - Nightmare	Location			City. Ruins.						Trouble in Tharbad - Nightmare	2		5		99d7fe5f-dcb5-43e2-9b73-8d47e661e6be			While City of Spies is in the staging area, it gains: "Forced: When you commit a character to the quest, raise your threat by 1. This effect does not stack with other copies of City of Spies."	
Dark Pathway	TiTN	TiTN0006	6	Ringmaker - Nightmare	Location			City.						Trouble in Tharbad - Nightmare	5		4		be2d2c3f-db7a-43bc-b0e8-43587dfce5c9			While Dark Pathway is the active location, the first treachery card without the printed surge keyword revealed during the quest phase gains surge.	Either remove 1 time counter from the current quest or treat this attack as undefended.
Waylaid by Agents	TiTN	TiTN0007	7	Ringmaker - Nightmare	Treachery									Trouble in Tharbad - Nightmare					4b748920-83c0-473a-a2fd-0ec8a6b3f1b8			When Revealed: Each player must choose: either remove 1 time counter from the quest or discard an ally he controls from play. Then, if any player's threat is 20 or less, Waylaid by Agents gained doomed 3.	Attacking enemy gets +1 Û (+3 Û instead if your threat is 20 or less).
Tharbad Patrol	TiTN	TiTN0008	8	Ringmaker - Nightmare	Treachery									Trouble in Tharbad - Nightmare					68384cac-543c-4e62-9866-e066f2ad27f0			When Revealed: Attach Tharbad Patrol to a non-unique location in the staging area without a copy of Tharbad Patrol attached. (Counts as a Condition attachment with the text: "Forced: After the players travel to attached location, each player must discard the top 2 cards from the encounter deck and engage each enemy he discarded in this way.")	
The Nin-in-Eilph	TNiEN	TNiEN0001	1	Ringmaker - Nightmare	Nightmare									The Nîn-in-Eilph - Nightmare		A			30252ae6-2652-45b9-a245-41abd03d05d6			Begin with the standard quest deck and encounter deck for The Nîn-in-Eilph scenario.Remove the following cards, in the specified quantities, from the encounter deck:1x A Weary Passage (Stage 1B)1x Impassable Marshland (Stage 2B)3x Neekerbreekers1x Hidden Eyot3x Finger of Glanduin2x Off Track1x Low on ProvisionsThen, shuffle the encounter cards in this Nightmare Deck into the remainder of the standard The Nîn-in-Eilph encounter deck.Finally, flip this setup card over and place it next to the quest deck. Its effect remains active through the game, which is now ready to begin.	
Deadly Marsh Adder	TNiEN	TNiEN0002	2	Ringmaker - Nightmare	Enemy			Creature.			4	2	5	The Nîn-in-Eilph - Nightmare	3	30			27393c24-6278-4202-91ef-ef3d708387e6			Forced: After Deadly Marsh Adder engages you, discard a damaged character you control.Forced: After the players advance to a quest stage, return Deadly Marsh Adder to the staging area.	
Swarms of Mosquitoes	TNiEN	TNiEN0003	3	Ringmaker - Nightmare	Enemy			Creature. Insect.			3	1	7	The Nîn-in-Eilph - Nightmare	2	25		1	cbbc2de7-c8ab-4c7b-8b83-8d29debf1696			Cannot have attachments.While Swarms of Mosquitoes is in the victory display, it gains: "Forced: After the players advance to a quest stage, return Swarms of Mosquitoes to the staging area."	
Desolate Meadow	TNiEN	TNiEN0004	4	Ringmaker - Nightmare	Location			Marsh.						The Nîn-in-Eilph - Nightmare	2		5		1e2c314d-2673-41d5-9905-3d60b5f33d98			While Desolate Meadow is in the staging area, it gains: "Forced: After any number of time counters are removed from the current quest, heal 2 damage on each Creature enemy in play."	If this attack destroys a character, remove all progress from the current quest.
Peat Bog	TNiEN	TNiEN0005	5	Ringmaker - Nightmare	Location			Marsh.						The Nîn-in-Eilph - Nightmare	3		3		87025e60-afc4-410b-9b97-c5f527b524c8			While Peat Bog is in the staging area, it gains: "Forced: After the players advance to a quest stage, each player discards 1 random card from his hand."	
Quicksand	TNiEN	TNiEN0006	6	Ringmaker - Nightmare	Treachery									The Nîn-in-Eilph - Nightmare					5f93b0c2-fa71-43e3-bfd6-c68c283e5328			When Revealed: Either remove 1 time counter from the current quest or remove each character with 3 or more Ò from the quest.	Defending character cannot ready until the end of the round.
Rotten Stench	TNiEN	TNiEN0007	7	Ringmaker - Nightmare	Treachery									The Nîn-in-Eilph - Nightmare					5fd07c1e-b086-4618-aa6e-89ff34f85c28			When Revealed: Return the topmost location in the encounter discard pile to the staging area. Until the end of the phase, each location in the staging area gets +1 $.	Deal 1 damage to the defending character.
Through the Marshes	TNiEN	TNiEN0008A,TNiEN0008B	8	Ringmaker - Nightmare	Quest									The Nîn-in-Eilph - Nightmare		A			ec21ab35-cc55-4e35-9ed7-b143bd94f17e			When Revealed: Raise each player's threat by 1.	
Lost in the Swanfleet	TNiEN	TNiEN0009A,TNiEN0009B	9	Ringmaker - Nightmare	Quest									The Nîn-in-Eilph - Nightmare		A			9ad3750c-5cb8-45c7-be04-b454f1d7de82			When Revealed: Raise each player's threat by 1. Add Ancient Marsh-dweller to the staging area (from out of play or engaged with a player) and heal all damage from it.	
Celebrimbors Secret	CSN	CSN0001	1	Ringmaker - Nightmare	Nightmare									Celebrimbor's Secret - Nightmare		A			79b22351-0e03-4bb9-87cb-b0cbefbefb60			Begin with the standard quest deck and encounter deck for the Celebrimbor's Secret scenario.Remove the following cards, in the specified quantities, from the encounter deck:1x Orc Skirmisher1x Orc Hunter3x Prowling Wolf1x Ruined Plaza1x City Remains1x Ancient Foundation3x Broken Lands1x Spies from Mordor2x Orc Hunting PartyThen, shuffle the encounter cards in this Nightmare Deck into the remainder of the standard Celebrimbor's Secret encounter deck.Finally, flip this setup card over and place it next to the quest deck. Its effect remains active through the game, which is now ready to begin.	
Bellachs Bodyguard	CSN	CSN0002	2	Ringmaker - Nightmare	Enemy			Mordor. Orc.			4	3	6	Celebrimbor's Secret - Nightmare	4	45			58615245-a21c-4f45-9636-9f76e2a7f19e			Bellach cannot take damage.Scour: Heal all damage from Bellach's Bodyguard.	Attacking enemy cannot take damage until the end of the phase.
Little Snuffler	CSN	CSN0003	3	Ringmaker - Nightmare	Enemy			Orc. Snaga.			3	2	3	Celebrimbor's Secret - Nightmare	3	15			0db0ef38-f9c4-47b1-a6a9-0aa5b9c1f538			When Revealed: Trigger Little Snuffler's Scour effect.Scour: The first player discards a random card from his hand and assigns X damage among locations in the staging area. X is the discarded card's cost.	
Bones of Hollin	CSN	CSN0004	4	Ringmaker - Nightmare	Location			Ost-in-Edhil. Ruins.						Celebrimbor's Secret - Nightmare	3		4		30ccffbd-b86a-4f6e-a286-8e8c753266ed			Forced: After any amount of damage is placed on Bones of Hollin, raise each player's threat by that amount.Travel: Place 2 damage on an Ost-in-Edhil location in play to travel here.	
Dusty Labyrinth	CSN	CSN0005	5	Ringmaker - Nightmare	Location			Ost-in-Edhil. Ruins.						Celebrimbor's Secret - Nightmare	2		5		d4afa945-f35f-4ae3-adb5-c90ed54f5e91			Dusty Labyrinth gets +1 $ for each damage on it.Scour: Deal 2 damage to Dusty Labyrinth.Travel: The first player must place a card from his hand facedown underneath The Orcs' Search to travel here.	
Hateful Search	CSN	CSN0006	6	Ringmaker - Nightmare	Treachery									Celebrimbor's Secret - Nightmare					6c9c2d37-2ca5-4753-8e1d-655fa5cd3ae7			When Revealed: Deal 1 damage to each location in the staging area. Until the end of the phase, each damaged location gets +1 $. If there are no locations in the staging area, Hateful Search gains surge.	Defending player discards a non-objective attachment he controls.
Saurons Agent	CSN	CSN0007	7	Ringmaker - Nightmare	Treachery									Celebrimbor's Secret - Nightmare					730dcb7f-df08-450a-8e28-9b436e11bce8			When Revealed: Bellach makes an immediate attack against each player in turn order. Then, deal 1 damage to the active location for each character destroyed by this effect.	Deal 1 damage to the defending character.
Closing In	CSN	CSN0008	8	Ringmaker - Nightmare	Treachery									Celebrimbor's Secret - Nightmare					f0a7b02f-4d0f-49c6-8c27-1600af0022e7			When Revealed: Place Closing In facedown underneath The Orcs' Search.	Attacking enemy gets +1 Û for each card underneath The Orcs' Search.
The Antlered Crown	TACN	TACN0001	1	Ringmaker - Nightmare	Nightmare									The Antlered Crown - Nightmare		A			ed458b9f-c913-4cb6-9f47-7760bba94c5b			Begin with the standard quest deck and encounter deck for The Antlered Crown scenario.Remove the following cards, in the specified quantities, from the encounter deck:1x Dunland Prowler1x Dunland Berserker2x Dunlending Bandit3x Raven Skirmisher3x Raven War-camp2x Driven BackThen, shuffle the encounter cards in this Nightmare Deck into the remainder of the standard The Antlered Crown encounter deck.Finally, flip this setup card over and place it next to the quest deck. Its effect remains active through the game, which is now ready to begin.Note: Dunlending Horde has the "Dunlending Warriors" encounter set icon and should be shuffled into the Raven deck during setup.	
Dunlending Horde	TACN	TACN0002	2	Ringmaker - Nightmare	Enemy			Dunland.			6	3	8	The Antlered Crown - Nightmare	4	32			56243a40-0019-406a-b502-34dd17d8b6cf			Cannot have attachments or take non-combat damage.Forced: After the engaged player draws any number of cards, heal all damage from Dunlending Horde.	
Raven Clan Elite	TACN	TACN0003	3	Ringmaker - Nightmare	Enemy			Dunland. Raven Clan.			4	2	4	The Antlered Crown - Nightmare	2	28			381569ad-e2bf-4fb5-a045-a36b918deac4			When Revealed: Either remove 1 time counter from a location in play, or Raven Clan Elite makes an immediate attack against the first player.	
Raven Clan Druid	TACN	TACN0004	4	Ringmaker - Nightmare	Enemy			Dunland. Raven Clan.			2	3	5	The Antlered Crown - Nightmare	3	26			33a1b9de-6b17-49f8-8eb3-7dd98feaf1cb			Forced: After the engaged player draws any number of cards, remove 1 time counter from a location in play.	Attacking enemy gets +X Û, where X is the Time X value on the active location.
Raven Stronghold	TACN	TACN0005	5	Ringmaker - Nightmare	Location			Dunland.						The Antlered Crown - Nightmare	2		5		5c525922-8f10-4793-b7c8-3fec9b3ce3f6			Time 3. Forced: After the last time counter is removed from this location, each player reveals the top card of the Raven deck and adds it to the staging area.Forced: When this location is explored, add the top card of the Raven deck to the staging area.	
Highlands of Dunland	TACN	TACN0006	6	Ringmaker - Nightmare	Location			Dunland.						The Antlered Crown - Nightmare	4		4		be9453b3-7576-4893-88d5-d62f0331411e			Time 2. Forced: After the last time counter is removed from this location, return each enemy in play to the staging area.	Either remove 1 time counter from a location in play, or return attacking enemy to the staging area after this attack.
Raven Talisman	TACN	TACN0007	7	Ringmaker - Nightmare	Treachery									The Antlered Crown - Nightmare					7f16112f-596c-43aa-b73e-3870f0325d66			When Revealed: Each player draws 1 card. Until the end of the round, add 1 to the total $ in the staging area for each card in the first player's hand.	Attacking enemy gets +1 Û. If this attack destroys a character, discard your hand and draw three cards.
